Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users1.json,SPEA2,uniform_inversion_high_mutation,12,0.06423254207036563,70.88751125335693,34,1,1,1438.2999999999995,478525.54999999923
users1.json,SPEA2,uniform_inversion_high_mutation,13,0.49646917412693764,134.32609224319458,64,8,8,1154.32375,503178.5499999997
users1.json,SPEA2,uniform_inversion_high_mutation,14,0.5155631713917609,99.43576908111572,47,2,2,1181.795,522312.3350000003
users1.json,SPEA2,uniform_inversion_high_mutation,15,0.39104882425122633,313.9050233364105,148,20,20,1314.6395,520724.619999999
users1.json,SPEA2,uniform_inversion_high_mutation,16,0.2167385142472185,67.89186644554138,31,2,2,1342.6149999999998,490071.41
users1.json,SPEA2,uniform_inversion_high_mutation,17,0.3213079462014665,175.10021805763245,83,9,9,1262.6444444444442,489900.7533333332
users1.json,SPEA2,uniform_inversion_high_mutation,18,0.1382490393957812,123.98644304275513,59,2,2,1388.5899999999997,490431.06999999867
users1.json,SPEA2,uniform_inversion_high_mutation,19,0.6985309696920647,429.8539242744446,208,16,16,1142.084375,524252.40749999834
users1.json,SPEA2,uniform_inversion_high_mutation,20,0.49243377882256,340.46938157081604,149,19,19,1304.4868421052633,533070.6705263155
users1.json,SPEA2,uniform_inversion_high_mutation,21,0.3907272108974723,156.4550974369049,71,4,4,1239.2749999999999,513002.0949999995
users1.json,SPEA2,uniform_inversion_high_mutation,22,0.5759911199348775,163.50648760795593,74,4,4,1109.075,512726.9025000003
users1.json,SPEA2,uniform_inversion_high_mutation,23,0.3287439138809709,143.08873915672302,64,6,6,1293.0266666666664,512286.5966666665
users1.json,SPEA2,uniform_inversion_high_mutation,24,0.15672559175859496,132.9674985408783,61,8,8,1407.1887499999998,494226.19999999984
users1.json,SPEA2,uniform_inversion_high_mutation,25,0.015392020917466264,88.27682638168335,42,1,1,1494.3199999999997,481627.5500000005
users1.json,SPEA2,uniform_inversion_high_mutation,26,0.5233063594752343,255.31771421432495,117,16,16,1157.69875,504635.50687499956
users1.json,SPEA2,uniform_inversion_high_mutation,27,0.32502894871054255,221.39549493789673,100,7,7,1293.7114285714285,511938.874285713
users1.json,SPEA2,uniform_inversion_high_mutation,28,0.5395618213141196,364.80003929138184,163,14,14,1203.0092857142859,522905.75071428536
users1.json,SPEA2,uniform_inversion_high_mutation,29,0.5521396821192818,226.78365087509155,104,6,6,1138.3866666666665,510286.97500000003
users1.json,SPEA2,uniform_inversion_high_mutation,30,0.6900549799924673,228.78281664848328,107,2,2,1079.245,530971.3549999995
users1.json,SPEA2,uniform_inversion_high_mutation,31,0.31094776342538744,293.44493079185486,134,25,25,1351.2327999999998,493066.22839999973
users2.json,SPEA2,uniform_inversion_high_mutation,1,0.5263352020006471,272.32898592948914,77,2,2,2144.205,904814.1049999995
users2.json,SPEA2,uniform_inversion_high_mutation,2,0.3679579822283622,1063.5379114151,300,6,6,2272.58,878295.5116666667
users2.json,SPEA2,uniform_inversion_high_mutation,3,0.34010893527503133,996.5042288303375,275,48,48,2394.314375,867100.2502083335
users2.json,SPEA2,uniform_inversion_high_mutation,4,0.39125782091423494,795.0569496154785,225,16,16,2331.77375,901924.1931249992
users2.json,SPEA2,uniform_inversion_high_mutation,5,0.232454849838647,233.29726314544678,66,2,2,2412.9350000000004,876765.0200000014
users2.json,SPEA2,uniform_inversion_high_mutation,6,0.4289601961957712,501.25622296333313,142,26,26,2210.412307692308,857866.7057692299
users2.json,SPEA2,uniform_inversion_high_mutation,7,0.010849797914076883,166.5311086177826,47,2,2,2679.05,801718.1100000001
users2.json,SPEA2,uniform_inversion_high_mutation,8,0.19378856977880007,147.44926261901855,41,1,1,2443.14,870534.3499999994
users2.json,SPEA2,uniform_inversion_high_mutation,9,0.40618497383321395,690.7950029373169,190,18,18,2288.3633333333332,891770.3016666682
users2.json,SPEA2,uniform_inversion_high_mutation,10,0.0714677514693623,241.79894542694092,68,1,1,2583.04,839221.2500000005
users2.json,SPEA2,uniform_inversion_high_mutation,11,0.3459415764496852,1086.1915805339813,300,34,34,2409.1220588235296,889969.2202941208
users2.json,SPEA2,uniform_inversion_high_mutation,12,0.3086735496105597,558.2575175762177,150,9,9,2431.087777777778,918003.5644444467
users2.json,SPEA2,uniform_inversion_high_mutation,13,0.1978431892648913,688.293023109436,189,11,11,2524.58,888497.3909090905
